Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AE,Adams Resources & Energy Inc. Common Stock,$23.80,-0.05,-0.21%,60605296.00,United States,1980,5875,Energy,Oil Refining/Marketing
AIM,AIM ImmunoTech Inc. Common Stock,$0.43,0.0115,2.748%,21002208.00,United States,1997,134377,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AREN,The Arena Group Holdings Inc. Common Stock,$0.8319,0.0008,0.096%,19828246.00,United States,2022,228784,Health Care,Medical/Dental Instruments
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.90,0.02,0.515%,140971639.00,United States,,11782,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.4701,0.0077,1.665%,59141470.00,Canada,,339063,Basic Materials,Metal Mining
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$5.14,-0.17,-3.202%,140905087.00,United States,,109052,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.447,-0.003,-0.667%,6295852.00,United States,,85934,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.6603,0.0086,1.32%,8762181.00,,2022,13495,Basic Materials,Precious Metals
BMTX,BM Technologies Inc. Common Stock,$2.10,0.05,2.439%,24926843.00,,2018,27513,Finance,Major Banks
BTTR,Better Choice Company Inc. Common Stock,$0.247,0.0069,2.874%,7924044.00,,2021,68803,Consumer Staples,Beverages (Production/Distribution)
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.00,0.04,2.041%,8146776.00,Israel,,13768,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$0.474,0.0029,0.616%,132990666.00,United States,,723030,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$4.9501,-0.2299,-4.438%,41020414.00,United States,2022,1831,Health Care,Managed Health Care
CLDI,Calidi Biotherapeutics Inc. Common Stock,$1.00,0.0237,2.428%,0.00,,2021,29685,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CMT,Core Molding Technologies Inc Common Stock,$17.83,-0.52,-2.834%,161195752.00,United States,1996,66471,Consumer Discretionary,Electronic Components
CTGO,Contango ORE Inc. Common Stock,$15.02,0.22,1.486%,141189923.00,United States,2021,10282,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.3477,-0.0219,-5.925%,16565272.00,,2022,426356,Technology,EDP Services
CYBN,Cybin Inc. Common Shares,$0.3813,0.0013,0.342%,97831486.00,Canada,,3039917,Health Care,Pharmaceuticals and Biotechnology
DSS,DSS Inc. Common Stock,$2.03,-0.04,-1.932%,14236822.00,United States,,10829,Consumer Discretionary,Containers/Packaging
ELA,Envela Corporation Common Stock,$4.56,0.11,2.472%,121752000.00,United States,,12271,Consumer Discretionary,Consumer Specialties
ELMD,Electromed Inc. Common Stock,$10.40,-0.09,-0.858%,89249441.00,United States,2011,4472,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.54,0.04,2.667%,172794222.00,Canada,,183956,Basic Materials,Metal Mining
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.76,-0.08,-1.37%,192559409.00,United States,,159719,Energy,Oil & Gas Production
FSI,Flexible Solutions International Inc. Common Stock (CDA),$1.79,0.01,0.562%,22259602.00,Canada,2002,4254,Industrials,Major Chemicals
FURY,Fury Gold Mines Limited Common Shares,$0.3788,-0.0112,-2.872%,55133374.00,,2020,75379,,
GAU,Galiano Gold Inc.,$0.90,0.0182,2.064%,202460507.00,Canada,,184515,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GLDG,GoldMining Inc. Common Shares,$0.859,0.039,4.756%,151904083.00,,,241582,Basic Materials,Precious Metals
GORO,Gold Resource Corporation Common Stock,$0.2963,0.0063,2.172%,26280043.00,United States,,233571,Basic Materials,Precious Metals
GROY,Gold Royalty Corp. Common Shares,$1.40,-0.01,-0.709%,202958399.00,Canada,2021,352662,Basic Materials,Precious Metals
IDR,Idaho Strategic Resources Inc. Common Stock,$5.90,-0.05,-0.84%,72313486.00,,2022,19577,Basic Materials,Precious Metals
INTT,inTest Corporation Common Stock,$12.50,0.14,1.133%,152016400.00,United States,1997,67626,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.41,0.009,2.244%,56572488.00,United States,,153994,Consumer Discretionary,Advertising
ISDR,Issuer Direct Corporation Common Stock,$15.25,0.00,0.00%,58127647.00,United States,,1039,Consumer Discretionary,Publishing
ITRG,Integra Resources Corp. Common Shares,$0.867,0.0248,2.945%,59630115.00,,,29468,Basic Materials,Precious Metals
KNW,Know Labs Inc. Common Stock,$0.42,-0.0083,-1.938%,34165540.00,,2022,130127,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.1897,0.0045,2.43%,24259723.00,United States,,765639,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.04,0.01,0.971%,181986138.00,United States,,341272,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LODE,Comstock Inc. Common Stock,$0.486,0.0106,2.23%,56925289.00,United States,,208296,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$0.7502,-0.055,-6.831%,53032559.00,United States,2022,46378,Industrials,Broadcasting
MAIA,MAIA Biotechnology Inc. Common Stock,$1.46,0.15,11.45%,20751726.00,,2022,413935,Health Care,Biotechnology: Pharmaceutical Preparations
MLSS,Milestone Scientific Inc. Common Stock,$0.59,0.0123,2.129%,41918462.00,United States,2015,28889,Health Care,Industrial Specialties
MRT,Marti Technologies Inc. Class A Ordinary Shares,$0.864,0.004,0.465%,15525000.00,,2021,86704,Consumer Discretionary,Rental/Leasing Companies
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$3.05,0.02,0.66%,292661033.00,,,299167,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.2028,-0.0007,-0.344%,44061246.00,United States,2017,634585,Health Care,Biotechnology: Pharmaceutical Preparations
MYO,Myomo Inc. Common Stock,$3.85,0.15,4.054%,102087382.00,United States,2017,595769,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.2548,0.0016,0.632%,135024383.00,Canada,,1649422,Basic Materials,Precious Metals
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.161,0.005,3.205%,1051218.00,United States,2007,499963,Health Care,Biotechnology: Pharmaceutical Preparations
NEWP,New Pacific Metals Corp. Common Shares,$1.49,0.03,2.055%,254647529.00,,2021,115880,,
NNVC,NanoViricides Inc. Common Stock,$1.05,0.02,1.942%,12333300.00,United States,,11055,Health Care,Biotechnology: Pharmaceutical Preparations
PED,Pedevco Corp. Common Stock,$0.64,-0.0249,-3.745%,55840171.00,United States,,292560,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.2199,-0.0049,-2.18%,10110943.00,,2019,93884,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.55,-0.02,-1.274%,113075792.00,Israel,,244263,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PTN,Palatin Technologies Inc. Common Stock,$3.81,0.14,3.815%,52338492.00,United States,1999,239987,Health Care,Biotechnology: Pharmaceutical Preparations
SACH,Sachem Capital Corp. Common Shares,$3.75,0.00,0.00%,170086609.00,United States,2017,130645,Real Estate,Real Estate Investment Trusts
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.4757,-0.0148,-3.017%,20844116.00,,2021,78332,Consumer Staples,Beverages (Production/Distribution)
SLI,Standard Lithium Ltd. Common Shares,$1.37,-0.02,-1.439%,236807510.00,Canada,2021,1209634,,
STXS,Stereotaxis Inc. Common Stock,$2.14,0.16,8.081%,173092961.00,United States,,361881,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TOON,Kartoon Studios Inc. Common Stock,$1.17,0.06,5.405%,41171274.00,United States,,169843,Consumer Discretionary,Movies/Entertainment
TOVX,Theriva Biologics Inc. Common Stock,$0.406,-0.009,-2.169%,6919363.00,United States,,18612,Health Care,Biotechnology: Pharmaceutical Preparations
TRX,TRX Gold Corporation Common Stock,$0.346,0.001,0.29%,96058360.00,Canada,,328481,,
VGZ,Vista Gold Corp Common Stock,$0.3741,-0.0169,-4.322%,45299206.00,United States,1986,98510,,
VNRX,VolitionRX Limited Common Stock,$1.06,0.0612,6.127%,83407025.00,Singapore,2015,59205,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VTAK,Catheter Precision Inc. Common Stock,$0.5531,0.0731,15.229%,3886456.00,,2018,408485,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$1.35,0.08,6.299%,280791656.00,,2022,304797,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.11,0.05,4.717%,180507057.00,Canada,2011,187970,Basic Materials,Metal Mining
XPL,Solitario Resources Corp. Common Stock,$0.55,0.00,0.00%,43497497.00,United States,,25138,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.06,0.07,7.071%,137916865.00,United States,,237592,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.75,0.0013,0.174%,2220708.00,United States,2017,36529,Health Care,Biotechnology: Pharmaceutical Preparations
ZDGE,Zedge Inc. Class B Common Stock ,$2.27,0.00,0.00%,32584881.00,,2016,20777,Technology,Computer Software: Prepackaged Software
